Field,Type,Null,Default
order_id,text,YES,NULL
order_date,datetime,YES,NULL
ship_date,datetime,YES,NULL
ship_mode,text,YES,NULL
customer_name,text,YES,NULL
segment,text,YES,NULL
state,text,YES,NULL
country,text,YES,NULL
market,text,YES,NULL
region,text,YES,NULL
product_id,text,YES,NULL
category,text,YES,NULL
sub_category,text,YES,NULL
product_name,text,YES,NULL
sales,int,YES,NULL
quantity,int,YES,NULL
discount,double,YES,NULL
profit,double,YES,NULL
shipping_cost,double,YES,NULL
order_priority,text,YES,NULL
year,int,YES,NULL
